               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.044632,            0.030388,                   0,             0.86386,             0.68069,             0.74585,             0.41774,            0.040188,            0.026591,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.044242,            0.030589,                   0,             0.86362,             0.68121,             0.74623,             0.41785,            0.040175,            0.026584,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.044473,            0.030524,                   0,             0.86394,             0.68081,             0.74621,             0.41812,            0.040162,            0.026581,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.044373,            0.030376,                   0,             0.86351,             0.68135,             0.74642,             0.41837,            0.040148,            0.026574,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.044663,            0.030781,                   0,             0.86279,             0.68214,             0.74642,             0.41858,            0.040135,             0.02657,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.04416,            0.030361,                   0,             0.86272,             0.68219,             0.74623,             0.41854,            0.040124,            0.026568,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.044386,            0.030397,                   0,             0.86211,             0.68292,             0.74663,             0.41874,            0.040115,             0.02656,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.043801,              0.0301,                   0,             0.86296,             0.68272,             0.74681,             0.41893,            0.040102,            0.026549,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.043707,            0.030332,                   0,             0.86375,             0.68258,             0.74717,              0.4193,            0.040085,            0.026536,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.044067,            0.030112,                   0,             0.86379,             0.68274,             0.74735,              0.4197,            0.040072,            0.026528,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.044134,            0.030141,                   0,             0.86418,             0.68284,             0.74761,             0.41976,            0.040056,            0.026519,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.043753,              0.0303,                   0,             0.86354,             0.68368,              0.7479,             0.42016,            0.040039,            0.026514,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.043491,            0.029435,                   0,             0.86421,             0.68336,             0.74805,             0.42066,            0.040026,            0.026511,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.04421,            0.030047,                   0,              0.8639,             0.68348,             0.74835,             0.42069,             0.04001,            0.026502,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.044022,            0.030012,                   0,             0.86224,             0.68442,             0.74862,             0.42068,                0.04,            0.026497,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.043752,            0.030168,                   0,             0.86192,             0.68462,             0.74875,             0.42078,            0.039988,            0.026489,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.043481,            0.029814,                   0,             0.86291,             0.68393,              0.7488,             0.42099,            0.039974,            0.026484,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.043379,             0.03015,                   0,             0.86181,             0.68473,             0.74889,             0.42126,            0.039964,            0.026478,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.043637,              0.0295,                   0,             0.86144,             0.68494,             0.74905,             0.42148,            0.039952,            0.026471,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.043184,            0.029349,                   0,             0.86149,             0.68477,             0.74904,             0.42174,            0.039944,            0.026469,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.043466,            0.029504,                   0,             0.86172,              0.6847,             0.74907,             0.42183,            0.039935,            0.026461,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.043393,            0.029507,                   0,              0.8624,             0.68499,              0.7495,             0.42203,            0.039926,            0.026456,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.043089,            0.029616,                   0,             0.86271,             0.68518,             0.74979,             0.42225,            0.039918,            0.026451,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.043367,             0.02947,                   0,             0.86361,             0.68494,             0.74993,             0.42239,            0.039908,            0.026448,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.043012,            0.029331,                   0,             0.86349,              0.6854,             0.74997,              0.4224,            0.039899,            0.026447,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.042371,            0.029183,                   0,              0.8638,             0.68528,             0.74988,             0.42262,            0.039891,            0.026444,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.043515,            0.029563,                   0,             0.86442,             0.68497,             0.75001,             0.42286,            0.039886,            0.026441,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.042719,            0.028943,                   0,             0.86423,             0.68524,             0.75001,             0.42313,            0.039877,            0.026439,                   0,            0.002377,            0.002377,            0.002377
                  79,             0.04231,             0.02895,                   0,             0.86578,             0.68488,             0.75047,             0.42338,            0.039864,            0.026435,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.042541,            0.028934,                   0,             0.86474,             0.68593,             0.75092,             0.42374,             0.03985,            0.026429,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.042484,            0.029342,                   0,             0.86448,             0.68662,             0.75118,             0.42404,            0.039838,            0.026428,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.042538,            0.029235,                   0,             0.86356,             0.68746,              0.7512,             0.42433,            0.039829,            0.026425,                   0,            0.001981,            0.001981,            0.001981
                  83,             0.04266,            0.028647,                   0,             0.86128,             0.68903,              0.7515,              0.4245,            0.039819,            0.026422,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.042551,            0.029018,                   0,             0.86144,              0.6893,             0.75175,             0.42468,            0.039812,            0.026419,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.042209,            0.029116,                   0,              0.8619,             0.68948,             0.75239,             0.42502,            0.039805,            0.026421,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.042321,            0.029058,                   0,             0.86111,             0.69002,             0.75242,             0.42521,            0.039794,            0.026419,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.042054,            0.028763,                   0,             0.86169,             0.69024,             0.75268,             0.42558,            0.039787,            0.026418,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.041736,             0.02853,                   0,             0.86196,              0.6902,             0.75295,             0.42584,            0.039779,            0.026418,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.041896,            0.028288,                   0,             0.86278,             0.68996,             0.75321,             0.42609,             0.03977,            0.026418,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.041581,            0.028268,                   0,             0.86352,             0.68965,             0.75356,             0.42631,            0.039764,            0.026415,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.041736,            0.028261,                   0,             0.86209,             0.69076,             0.75378,              0.4265,            0.039756,            0.026417,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.04155,            0.028344,                   0,             0.86286,              0.6906,             0.75428,             0.42668,            0.039748,             0.02642,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.041034,            0.027725,                   0,             0.86148,             0.69117,             0.75406,             0.42691,            0.039738,            0.026423,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.041485,            0.028092,                   0,             0.86259,             0.69103,             0.75446,             0.42714,            0.039731,            0.026427,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.041267,            0.028201,                   0,             0.86221,             0.69145,             0.75483,             0.42737,            0.039724,            0.026433,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.041224,            0.027762,                   0,             0.86244,             0.69142,             0.75499,             0.42768,            0.039716,            0.026438,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.041286,            0.027755,                   0,             0.86268,             0.69101,             0.75484,             0.42784,            0.039712,            0.026446,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.041454,            0.028203,                   0,             0.86268,             0.69127,             0.75516,              0.4279,            0.039707,            0.026453,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.041039,            0.027813,                   0,             0.86296,              0.6907,             0.75492,             0.42794,            0.039702,             0.02646,                   0,            0.000298,            0.000298,            0.000298
